Name,Value
TicksPerSecond,5
SubticksPerTick,4
SubTicksPerTurn,400
SubticksPerCheckpoint,10
StartingPlayerPremiumCurrency,200
PremiumCurrencyTimeValue0,60
PremiumCurrencyTimeValue1,3600
PremiumCurrencyTimeValue2,86400
PremiumCurrencyTimeValue3,1209600
PremiumCurrencyToTimePrice0,1
PremiumCurrencyToTimePrice1,30
PremiumCurrencyToTimePrice2,300
PremiumCurrencyToTimePrice3,3000
CrystalCostForCredits_100,1
CrystalCostForCredits_1000,20
CrystalCostForCredits_10000,150
CrystalCostForCredits_100000,1000
CrystalCostForCredits_1000000,4000
CrystalCostForCredits_10000000,12000
CrystalCostForHydrogen_10,1
CrystalCostForHydrogen_100,15
CrystalCostForHydrogen_1000,80
CrystalCostForHydrogen_10000,400
CrystalCostForHydrogen_100000,2000
CrystalCostForHydrogen_1000000,10000
FleetDepartTimeInSeconds,9
FleetDepartTimeInSeconds_WS,600
StartingPlayerBCAmount,0
StartingPlayerFuelAmount,100
MaxPlayerNameLength,16
ColonizePlanetXP,0
MaxRecentPlayerNotifications,20
MaxPlayerNameChangesAllowed,2
MinAllianceNameLength,3
MaxAllianceNameLength,15
MaxAllianceDescriptionLength,800
NumRecommendedAlliances,50
BCDisplayDivider,100
MaxChatMessages,100
MaxChatLineLength,800
MaxShareViewMessageLength,100
MaxHUDNotifications,5
DeliverTradeJobXPPer100BC,7
XPMultiplierForDiplomacyShipments,5
MinTradeJobXP,1
MaxTradeJobXP,40
PlanetCaptureTime,45
ClosestAllowedDistanceBetweenPlanets,4000
ClosestAllowedDistanceBetweenAsteroids,4000
ClosestAllowedDistanceBetweenCerberusBases,3000
MinDistanceBetweenBuildings,1500
MinDistanceBetweenBuildingAndPlanets,1600
MinDistanceBetweenBuildingsAndAsteroids,600
MinDistanceBetweenPlanetsAndAsteroids,2000
MinDistanceBetweenStarAndBuildings,1200
MinDistanceBetweenAsteroids,350
AlliancesUnlockLevel,4
MaxRarePlanetsInAnyStarSystem,2
MaxLegendaryPlanetsInAnyStarSystem,1
ClosestAllowedDistanceBetweenRandomSites,3500
MissileBaseHP,80
MissileBaseDPM,40
DestroyerMoonDestroyTime,3600
DestroyerPlanetDestroyTime,14400
RetentionNotificationTimeInterval,86400
DynamicCSVUpdates,1
CompressCSVUpdates,1
DistanceToClickConversionFactor,10
DisbandFleetUnlockLevel,2
SupportURL,support@hadesstar.com
DisableIAP,0
FleetAutomateInterval0,2
FleetAutomateInterval1,8
FleetAutomateInterval2,24
ShipmentsPeriod,60
ManualShipmentRefreshPeriods,4
PlanetUpgradeShipmentRefreshPeriods,2
ShipmentRefreshCrystalDiscountPct,10
ShipmentRefreshRefPct,10
ShipmentRefreshMinCrystals,3
ShipmentRefreshEnable,0
MaxNumTradeJobsForSpaceStation,18
ShipmentRewardFlunctuationPercent,10
MaxWaypoints,15
MaxWaypointsWS,5
PrivacyPolicyURL,http://www.hadesstar.com/{0}/privacy_policy.html
TermsOfServiceURL,http://www.hadesstar.com/{0}/terms_of_service.html
TutorialSectorCRCost,500
TutorialSectorUnlockTime,30
CreditShipmentNames,TID_TRADEITEM_ALLOYS!TID_TRADEITEM_DIAMONDS!TID_TRADEITEM_SILICON
HydroShipmentNames,TID_TRADEITEM_FUELCELLS!TID_TRADEITEM_SOLARCONVERTER!TID_TRADEITEM_GOLD
CrystalShipmentName,TID_TRADEITEM_CRYSTALS
MaxStarSystemLogEntries,80
MaxBlueprintsOfOneTypeAwardedEachTime,1000
RedStarFullScreenWarningSeconds,90
